"","Title","Action","Adventure","Animation","Childrens","Comedy","Crime","Documentary","Drama","Fantasy","FilmNoir","Horror","Musical","Mystery","Romance","SciFi","Thriller","War","Western"
"263","Steel (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264","Mimic (1997)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"265","Hunt for Red October, The (1990)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"266","Kull the Conqueror (1997)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267","unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268","Full Monty, The (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"269","Gattaca (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"270","Starship Troopers (1997)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"271","Good Will Hunting (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"272","Heat (1995)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"273","Sabrina (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"274","Sense and Sensibility (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"275","Leaving Las Vegas (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"276","Restoration (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"277","Bed of Roses (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"278","Once Upon a Time... When We Were Colored (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"279","Up Close and Personal (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"280","River Wild, The (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"281","Time to Kill, A (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"282","Emma (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"283","Tin Cup (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"284","Secrets & Lies (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"285","English Patient, The (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"286","Marvin's Room (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"287","Scream (1996)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"288","Evita (1996)",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"289","Fierce Creatures (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"290","Absolute Power (1997)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"291","Rosewood (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"292","Donnie Brasco (1997)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"293","Liar Liar (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"294","Breakdown (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"295","Promesse, La (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"296","Ulee's Gold (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"297","Face/Off (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"298","Hoodlum (1997)",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"299","Air Force One (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"300","In & Out (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"301","L.A. Confidential (1997)",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"302","Fly Away Home (1996)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"303","Ice Storm, The (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"304","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"305","Devil's Advocate, The (1997)",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"306","FairyTale: A True Story (1997)",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"307","Deceiver (1997)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"308","Rainmaker, The (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"309","Wings of the Dove, The (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"310","Midnight in the Garden of Good and Evil (1997)",0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"311","Titanic (1997)",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"312","3 Ninjas: High Noon At Mega Mountain (1998)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313","Apt Pupil (1998)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"314","As Good As It Gets (1997)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"315","In the Name of the Father (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"316","Schindler's List (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"317","Everyone Says I Love You (1996)",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"318","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"319","Mother (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"320","Murder at 1600 (1997)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"321","Dante's Peak (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"322","Lost Highway (1997)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"323","Crash (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"324","G.I. Jane (1997)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"325","Cop Land (1997)",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"326","Conspiracy Theory (1997)",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"327","Desperate Measures (1998)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"328","187 (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"329","Edge, The (1997)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"330","Kiss the Girls (1997)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"331","Game, The (1997)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"332","U Turn (1997)",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"333","How to Be a Player (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","Playing God (1997)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"335","House of Yes, The (1997)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"336","Bean (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"337","Mad City (1997)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"338","Boogie Nights (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"339","Critical Care (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"340","Man Who Knew Too Little, The (1997)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"341","Alien: Resurrection (1997)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"342","Apostle, The (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"343","Deconstructing Harry (1997)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"344","Jackie Brown (1997)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"345","Wag the Dog (1997)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"346","Hard Rain (1998)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"347","Fallen (1998)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"348","Prophecy II, The (1998)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"349","Spice World (1997)",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"350","Deep Rising (1998)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"351","Wedding Singer, The (1998)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"352","Sphere (1998)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"353","Client, The (1994)",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"354","One Flew Over the Cuckoo's Nest (1975)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"355","Spawn (1997)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"356","Assignment, The (1997)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"357","Wonderland (1997)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"358","Incognito (1997)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"359","Blues Brothers 2000 (1998)",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"360","Sudden Death (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"361","Ace Ventura: When Nature Calls (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"362","Powder (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"363","Dangerous Minds (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"364","Clueless (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"365","Bio-Dome (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"366","Black Sheep (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"367","Mary Reilly (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"368","Bridges of Madison County, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"369","Jeffrey (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"370","Judge Dredd (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"371","Mighty Morphin Power Rangers: The Movie (1995)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"372","Showgirls (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"373","Houseguest (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"374","Heavyweights (1994)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"375","Miracle on 34th Street (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"376","Tales From the Crypt Presents: Demon Knight (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"377","Star Trek: Generations (1994)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"378","Muriel's Wedding (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"379","Adventures of Priscilla, Queen of the Desert, The (1994)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"380","Flintstones, The (1994)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"381","Naked Gun 33 1/3: The Final Insult (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"382","True Lies (1994)",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"383","Addams Family Values (1993)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"384","Age of Innocence, The (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"385","Beverly Hills Cop III (1994)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"386","Black Beauty (1994)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"387","Fear of a Black Hat (1993)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"388","Last Action Hero (1993)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"389","Man Without a Face, The (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"390","Mrs. Doubtfire (1993)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"391","Radioland Murders (1994)",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"392","Robin Hood: Men in Tights (1993)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"393","Serial Mom (1994)",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"394","Striking Distance (1993)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"395","Super Mario Bros. (1993)",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"396","Three Musketeers, The (1993)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"397","Little Rascals, The (1994)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"398","Brady Bunch Movie, The (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"399","Ghost (1990)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"400","Batman (1989)",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"401","Pinocchio (1940)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"402","Mission: Impossible (1996)",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"403","Thinner (1996)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"404","Spy Hard (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"405","Close Shave, A (1995)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"406","Jack (1996)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"407","Kingpin (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"408","Nutty Professor, The (1996)",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"409","Very Brady Sequel, A (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"410","Tales from the Crypt Presents: Bordello of Blood (1996)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"411","My Favorite Year (1982)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"412","Apple Dumpling Gang, The (1975)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"413","Old Yeller (1957)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"414","Parent Trap, The (1961)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"415","Cinderella (1950)",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"416","Mary Poppins (1964)",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"417","Alice in Wonderland (1951)",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"418","William Shakespeare's Romeo and Juliet (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"419","Aladdin and the King of Thieves (1996)",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"420","E.T. the Extra-Terrestrial (1982)",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"421","Children of the Corn: The Gathering (1996)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"422","Bob Roberts (1992)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"423","Transformers: The Movie, The (1986)",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"424","To Kill a Mockingbird (1962)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"425","Harold and Maude (1971)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"426","Day the Earth Stood Still, The (1951)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"427","Duck Soup (1933)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"428","Highlander (1986)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"429","Fantasia (1940)",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"430","Heathers (1989)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"431","Forbidden Planet (1956)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"432","Butch Cassidy and the Sundance Kid (1969)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"433","American Werewolf in London, An (1981)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"434","Amityville 1992: It's About Time (1992)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"435","Amityville 3-D (1983)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"436","Amityville: A New Generation (1993)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"437","Amityville II: The Possession (1982)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"438","Amityville Horror, The (1979)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"439","Amityville Curse, The (1990)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"440","Birds, The (1963)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"441","Blob, The (1958)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"442","Body Snatcher, The (1945)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"443","Burnt Offerings (1976)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"444","Carrie (1976)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"445","Omen, The (1976)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"446","Star Trek: The Motion Picture (1979)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"447","Star Trek V: The Final Frontier (1989)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"448","Grease (1978)",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"449","Jaws 2 (1978)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"450","Jaws 3-D (1983)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"451","Bastard Out of Carolina (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"452","Jackie Chan's First Strike (1996)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"453","Beverly Hills Ninja (1997)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"454","Free Willy 3: The Rescue (1997)",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"455","Nixon (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"456","Cry, the Beloved Country (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"457","Crossing Guard, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"458","Smoke (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"459","Like Water For Chocolate (Como agua para chocolate) (1992)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"460","Secret of Roan Inish, The (1994)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"461","Vanya on 42nd Street (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"462","Jungle Book, The (1994)",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"463","Red Rock West (1992)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"464","Bronx Tale, A (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"465","Rudy (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"466","Short Cuts (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"467","Tombstone (1993)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"468","Courage Under Fire (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"469","Dragonheart (1996)",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"470","James and the Giant Peach (1996)",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"471","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"472","Trainspotting (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"473","First Wives Club, The (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"474","Matilda (1996)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"475","Philadelphia Story, The (1940)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"476","Vertigo (1958)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"477","North by Northwest (1959)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"478","Apartment, The (1960)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"479","Some Like It Hot (1959)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"480","Casablanca (1942)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"481","Maltese Falcon, The (1941)",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"482","My Fair Lady (1964)",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"483","Sabrina (1954)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"484","Roman Holiday (1953)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"485","Sunset Blvd. (1950)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"486","Notorious (1946)",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"487","To Catch a Thief (1955)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"488","Adventures of Robin Hood, The (1938)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489","East of Eden (1955)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"490","Thin Man, The (1934)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"491","His Girl Friday (1940)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"492","Around the World in 80 Days (1956)",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"493","It's a Wonderful Life (1946)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"494","Bringing Up Baby (1938)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"495","African Queen, The (1951)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"496","Cat on a Hot Tin Roof (1958)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"497","Dumbo (1941)",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"498","Bananas (1971)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"499","Candidate, The (1972)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"500","Bonnie and Clyde (1967)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"501","Dial M for Murder (1954)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"502","Rebel Without a Cause (1955)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"503","Streetcar Named Desire, A (1951)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"504","People vs. Larry Flynt, The (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"505","My Left Foot (1989)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"506","Magnificent Seven, The (1954)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"507","Lawrence of Arabia (1962)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"508","Wings of Desire (1987)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"509","Third Man, The (1949)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"510","Annie Hall (1977)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"511","Boot, Das (1981)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"512","Local Hero (1983)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"513","Manhattan (1979)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"514","Miller's Crossing (1990)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"515","Treasure of the Sierra Madre, The (1948)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"516","Great Escape, The (1963)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"517","Deer Hunter, The (1978)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"518","Down by Law (1986)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"519","Cool Hand Luke (1967)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"520","Great Dictator, The (1940)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"521","Big Sleep, The (1946)",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"522","Ben-Hur (1959)",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"523","Gandhi (1982)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"524","Killing Fields, The (1984)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"525","My Life as a Dog (Mitt liv som hund) (1985)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"526","Man Who Would Be King, The (1975)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"527","Shine (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"528","Kama Sutra: A Tale of Love (1996)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"529","Daytrippers, The (1996)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
